label,total_return,cagr,max_drawdown,volatility,sharpe,sortino,calmar,alpha,beta,benchmark_return,benchmark_cagr,stop_loss_pct,max_position_weight,momentum_lookback,sma_window,sharpe_rank,cagr_rank,max_drawdown_rank,sortino_rank,calmar_rank,alpha_rank
sl0.15_mom21,5.99327597555745,0.21299675622870984,0.37067654591476945,0.2087759938644864,0.8286237944626892,0.9579976750634583,0.5746162215444963,0.06920533956238474,0.9401315593758187,3.0615190721644403,0.14929206615887702,0.15,0.2,21,200,24,24,21,24,24,24
sl0.15_mom63,8.389938324585025,0.24900926718945504,0.37066592852316876,0.21361013116879973,0.9784613962166945,1.1375885430584214,0.6717889291351216,0.09670114202200981,0.95852515819404,3.0615190721644403,0.14929206615887702,0.15,0.2,63,200,15,16,17,16,17,15
sl0.15_mom126,9.699985848157135,0.2653097397571349,0.3658644767763591,0.215781471521943,1.0441570268660576,1.2232332667920645,0.7251585125038253,0.10849267599737346,0.9693668239537009,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,3,3,13,3,3,3
sl0.15_mom189,9.191357306907832,0.25920653472280986,0.36450890764928123,0.21471291678352178,1.0209284937608976,1.2012542241074051,0.7111116608766391,0.10459112896599207,0.961832289866901,3.0615190721644403,0.14929206615887702,0.15,0.2,189,200,6,6,8,6,6,6
sl0.15_mom252,8.57487225390882,0.2514300647727372,0.36034239710287913,0.21568016861339812,0.9802944152539165,1.1549943529798417,0.6977532113739948,0.09686741647639542,0.9728398254857236,3.0615190721644403,0.14929206615887702,0.15,0.2,252,200,13,13,2,13,13,13
sl0.20_mom21,5.995877922289482,0.21304155489140308,0.37067654591476945,0.20877352873134808,0.8288481587820203,0.9582530671733548,0.5747370780248617,0.06924328949863946,0.9401223708743816,3.0615190721644403,0.14929206615887702,0.2,0.2,21,200,22,22,21,22,22,22
sl0.20_mom63,8.384006170389428,0.24893090629486014,0.37066592852316893,0.21362802643861997,0.9780126221167454,1.1372514409861205,0.6715775234229558,0.0966376743117461,0.9585534435742151,3.0615190721644403,0.14929206615887702,0.2,0.2,63,200,16,17,18,17,18,16
sl0.20_mom126,9.703766648740066,0.26535411990604785,0.3658644767763591,0.21577889768901384,1.044375155863638,1.223494171246168,0.7252798146573003,0.10852852981016112,0.9693588854567267,3.0615190721644403,0.14929206615887702,0.2,0.2,126,200,1,2,13,1,2,1
sl0.20_mom189,9.187149383310613,0.25915490806700836,0.3645089076492811,0.21473853662583314,1.0205662733413818,1.2010084725921455,0.7109700274220979,0.1045522031266858,0.9618534834869072,3.0615190721644403,0.14929206615887702,0.2,0.2,189,200,7,8,6,7,8,7
sl0.20_mom252,8.574995622321811,0.2514316655668951,0.36034239710287913,0.21567563999515066,0.9803224210747631,1.155051442204751,0.6977576537992292,0.09686879764323426,0.9728327845166154,3.0615190721644403,0.14929206615887702,0.2,0.2,252,200,12,12,2,12,12,12
sl0.25_mom21,5.995877922289482,0.21304155489140308,0.37067654591476945,0.20877352873134808,0.8288481587820203,0.9582530671733548,0.5747370780248617,0.06924328949863946,0.9401223708743816,3.0615190721644403,0.14929206615887702,0.25,0.2,21,200,22,22,21,22,22,22
sl0.25_mom63,8.384006170389428,0.24893090629486014,0.37066592852316893,0.21362802643861997,0.9780126221167454,1.1372514409861205,0.6715775234229558,0.0966376743117461,0.9585534435742151,3.0615190721644403,0.14929206615887702,0.25,0.2,63,200,16,17,18,17,18,16
sl0.25_mom126,9.705789628839494,0.265377860442888,0.3658644767763591,0.21583287675390123,1.0442239562041804,1.223415479824733,0.7253447035392419,0.10850865316727826,0.9696821746956596,3.0615190721644403,0.14929206615887702,0.25,0.2,126,200,2,1,13,2,1,2
